id,size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
1,568,14,InfServ,PC,Relatnl,GUI,Outsrced,1,No,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,988
2,641,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7583
3,120,5,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,857
4,248,7,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2308
5,1055,16,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21485
6,382,12,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4010
7,351,13,TransPro,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2703
8,195,25,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7448
9,374,22,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9320
10,1130,54,TransPro,Mini,Sequential,TextUI,Outsrced,2,No,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,12016
11,175,13,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4530
12,739,21,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4053
13,106,7,CustServ,PC,,TextUI,Inhouse,2,No,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,923
14,47,9,CustServ,Network,,TextUI,Inhouse,3,No,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,582
15,247,19,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2529
16,366,11,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4089
17,221,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1579
18,1875,31,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25207
19,2558,36,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,34785
20,437,41,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15423
21,301,28,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11186
22,2980,14,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18865
23,317,13,TransPro,Multi,Relatnl,TextUI,Inhouse,1,No,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9744
24,326,27,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,6977
25,557,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10574
26,452,12,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,Yes,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5218
27,3330,43,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63246
28,254,4,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,Yes,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1670
29,200,10,ProdCont,Multi,Relatnl,TextUI,Inhouse,3,Yes,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1493
30,184,12,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,No,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1714
31,383,6,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1821
32,443,29,MIS,Mainfrm,Relatnl,TextUI,Inhouse,2,No,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2966
33,198,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,964
34,72,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1254
35,864,6,InfServ,Multi,Relatnl,GUI,Outsrced,3,No,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3112
36,1638,11,TransPro,Multi,Relatnl,GUI,Outsrced,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10159
37,1037,8,TransPro,Multi,Relatnl,GUI,Outsrced,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6930
38,524,23,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3766
39,2051,30,CustServ,Multi,Relatnl,TextUI,Inhouse,3,Yes,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,13316
40,296,25,MIS,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5816
41,1146,22,CustServ,Multi,Relatnl,TextUI,Inhouse,3,Yes,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9494
42,250,7,InfServ,Network,Relatnl,GUI,Inhouse,1,No,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1077
