id,Actual.duration,Adjusted.function.points,First.estimate,Actual.effort
1,102,103.8,477,486
2,144,53.45,1390,1006
3,600,1032.94,8504,13560
4,224,44.33,1608,1584
5,328,1015.3,3781,3771
6,305,77.31,866,1098
7,219,152.52,2865,2184
8,168,228.23,1761,1592
9,613,144.03,1158,1159
10,172,84.84,878,1434
11,196,128.1,2167,2123
12,185,435.52,1434,1124
13,113,18.28,1096,980
14,255,110.12,1821,1845
15,167,208.66,1300,1012
16,46,272.22,427,318
17,191,628.87,489,596
18,186,171.32,983,1055
19,95,55.21,371,390
20,53,29.08,212,222
21,357,243.74,2825,2342
22,438,213.85,1390,1380
23,109,230.53,1673,1052
24,281,472.58,2202,2940
25,134,180.99,1224,1130
26,109,290.45,2318,1463
27,103,349.52,2319,1851
28,201,348.43,1884,2233
29,221,1163.0,5512,9053
30,489,737.06,3802,5601
31,169,452.46,2008,2650
32,176,198.72,2258,1416
33,211,544.41,3146,3364
34,60,88.73,777,650
35,296,1362.29,3904,7632
36,409,678.76,6919,5461
37,420,511.69,5035,6605
38,511,170.87,1313,2686
39,267,2058.75,5820,4610
40,238,798.79,5145,4736
41,455,772.54,3873,5069
42,284,362.42,2524,3035
43,112,60.53,1516,883
44,123,170.78,1007,764
45,186,328.2,5425,5590
46,203,78.82,1544,1542
47,158,188.79,1456,1204
48,98,120.1,313,294
49,60,210.86,407,342
50,99,115.56,733,584
51,463,14.78,760,704
52,131,325.05,1696,2044
53,109,85.69,705,718
54,67,238.49,1261,1437
55,238,586.59,3657,4110
56,338,509.12,2868,3829
57,36,86.58,736,637
58,180,119.56,734,726
59,345,61.37,1834,1605
60,121,1060.21,4820,5629
61,87,363.07,2447,2112
62,50,238.82,2563,1541
63,160,284.75,2284,1179
64,49,62.73,964,675
65,151,292.41,1591,1276
66,135,170.27,1045,997
67,235,145.68,2193,2272
68,289,108.83,675,671
69,102,161.78,119,700
70,126,711.08,1720,2084
71,165,403.62,2265,1608
72,303,317.97,2320,2199
73,378,1135.78,7693,8391
74,155,176.93,2050,1918
75,165,749.38,3817,5373
76,115,274.84,1280,1088
77,82,44.86,425,463
78,125,54.02,821,594
79,51,130.64,862,506
80,192,572.0,2732,1965
81,150,308.91,757,1695
82,360,1199.06,2008,3304
83,122,266.68,1742,1607
84,119,60.5,750,560
85,202,297.22,2535,3008
86,75,100.68,1130,1141
87,298,747.92,4069,5293
88,131,181.22,893,763
89,143,355.68,2092,2250
90,161,377.54,3126,3404
91,132,160.47,4376,2419
92,372,1169.97,14022,15176
93,170,155.14,6000,2885
94,155,586.13,3945,4164
95,130,73.13,641,691
96,139,126.69,780,648
97,401,1266.69,6366,6312
98,158,35.29,298,218
99,103,58.68,302,255
100,145,162.69,736,332
101,520,1255.4,908,870
102,944,17945.37,82556,120075
103,180,1017.37,1689,1653
104,225,381.46,1659,1626
105,82,216.73,629,689
106,242,395.04,2139,1535
107,85,272.7,1004,985
108,101,243.02,1883,1944
109,140,227.77,2573,2392
110,84,149.26,2651,1687
111,295,1935.35,11999,12761
112,386,385.74,4202,4408
113,163,273.6,2279,2404
114,86,100.2,1008,939
115,251,406.19,3814,3179
116,196,857.27,3170,2827
117,65,72.94,364,304
118,201,968.71,3793,3604
119,124,96.9,200,592
120,123,104.47,557,443
121,183,153.42,1623,1695
122,117,226.27,797,868
123,193,1259.73,8284,9083
124,210,619.94,3796,4072
125,184,98.07,736,1020
126,234,74.94,843,603
127,148,359.75,2389,1863
128,432,884.24,4141,5370
129,402,841.52,5505,4901
130,212,658.68,2858,1893
131,51,174.61,1253,929
132,198,503.86,2511,2505
133,143,364.53,1326,1368
134,164,785.44,3439,2985
135,133,244.1,1529,1294
136,381,547.23,2214,1690
137,216,484.65,2816,970
138,329,673.82,1294,288
139,211,757.97,2198,1428
140,39,804.97,317,311
141,253,175.71,886,600
142,408,78.68,444,310
143,236,1109.22,2713,2561
144,149,1019.27,1045,1076
145,99,561.28,1330,875
