id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
1,1,1,4,83,12,5038,240,54,317,36,311,1
2,2,0,0,86,4,5729,203,134,327,34,304,1
3,3,4,4,84,1,755,40,60,103,18,85,1
4,4,0,0,88,5,3846,202,120,323,31,316,1
5,5,0,0,83,4,2137,143,95,238,24,205,1
6,6,0,0,91,4,2911,96,89,182,38,197,1
7,7,2,1,87,9,2474,115,41,155,25,146,2
8,8,1,2,84,13,3768,177,53,241,25,202,1
9,9,3,1,87,12,7900,171,88,252,29,239,1
10,10,3,4,81,4,2397,79,38,122,24,105,1
11,11,4,1,87,21,4060,170,99,270,23,237,1
12,12,2,1,83,17,8691,140,118,257,40,282,1
13,13,1,1,82,3,2198,33,73,107,20,84,1
14,14,3,4,86,8,4119,151,62,223,32,215,1
15,15,4,4,85,9,4625,215,121,332,27,324,1
16,16,3,2,83,8,1603,119,50,172,25,156,2
17,17,4,3,83,8,2937,57,44,104,43,110,1
18,18,4,4,83,14,3377,64,323,374,20,327,2
19,19,3,4,85,14,4486,9,386,386,20,330,2
20,20,4,2,85,5,832,55,34,88,27,87,1
21,21,4,4,84,12,14130,316,269,600,33,564,2
22,22,2,4,87,19,5334,88,175,254,35,247,1
23,23,2,4,86,5,5697,315,130,455,37,431,1
24,24,4,1,83,20,10622,294,71,380,40,406,1
25,25,1,4,86,8,3957,92,193,285,32,285,1
26,26,4,1,85,14,3231,83,241,334,33,320,1
27,27,2,0,84,6,3431,73,238,304,37,299,1
28,28,3,1,86,15,4441,154,324,480,38,490,1
29,29,4,4,86,16,7592,119,172,270,27,268,1
30,30,4,1,85,14,4137,173,276,445,39,479,1
31,31,4,3,88,6,3985,79,136,214,27,190,1
32,32,1,1,89,9,706,145,37,181,26,164,3
33,33,4,4,83,9,2398,174,79,266,41,257,3
34,34,1,1,85,5,6433,202,96,285,33,293,1
35,35,2,2,85,3,655,131,48,176,37,182,3
36,36,1,3,85,17,9192,327,119,425,33,441,2
37,37,2,4,87,11,1480,287,87,385,29,342,3
38,38,0,0,87,8,6043,255,145,441,24,375,1
39,39,1,4,90,4,842,153,58,214,18,184,3
40,40,3,3,88,16,7921,286,143,447,53,519,2
41,41,1,1,87,9,4785,438,46,512,27,446,1
42,42,2,4,88,31,2432,692,127,789,23,671,3
43,43,1,1,85,9,2064,64,56,118,25,105,1
44,44,0,4,83,40,19741,266,233,499,50,583,1
45,45,2,1,86,18,6751,180,124,303,34,306,1
46,46,2,3,88,27,15196,174,338,496,19,412,1
47,47,2,2,86,9,3996,255,7,271,29,249,1
48,48,4,3,84,11,13240,129,176,321,53,363,1
49,49,2,3,87,8,2471,106,38,150,6,100,1
50,50,3,3,83,9,6052,92,107,198,30,189,1
51,51,2,3,84,7,2770,119,75,186,18,153,1
52,52,3,3,84,6,3033,87,49,135,31,138,1
53,53,2,3,82,18,14232,215,123,369,34,345,1
54,54,1,1,88,12,2540,59,98,147,18,131,1
55,55,1,3,83,12,3515,134,88,213,5,161,2
56,56,3,7,89,13,9004,44,396,422,16,340,2
57,57,1,1,88,11,3360,56,106,169,12,131,2
58,58,1,4,89,7,2711,129,51,187,14,136,2
59,59,3,3,84,5,3487,124,131,250,15,200,2
60,60,1,2,86,6,1524,45,32,79,14,65,2
61,61,1,1,84,12,3074,127,102,236,23,206,2
62,62,3,2,84,6,1774,97,43,148,14,115,2
63,63,1,1,83,5,2541,83,96,170,14,141,1
64,64,4,7,83,13,1629,69,73,144,14,109,1
65,65,1,3,83,8,3690,188,97,301,33,291,2
66,66,2,0,84,10,6858,232,108,347,28,329,2
67,67,2,4,85,16,11343,310,190,491,33,508,2
68,68,1,3,89,6,1273,42,33,73,26,67,2
69,69,1,2,93,5,2516,75,43,119,26,105,2
70,70,3,4,91,11,1119,104,57,153,9,113,2
71,71,0,4,82,6,553,100,41,141,6,98,3
72,72,2,3,82,13,2302,134,80,215,12,150,2
73,73,4,5,89,27,8788,459,232,709,27,647,2
74,74,0,2,81,6,591,212,73,296,6,210,3
75,75,0,0,87,23,3949,143,140,279,22,257,2
76,76,2,3,85,24,13586,475,185,680,38,717,2
77,77,4,4,84,12,1390,238,171,389,39,393,3
78,78,4,3,84,13,2744,222,74,302,34,307,1
79,79,4,4,84,23,9470,402,190,584,40,605,1
80,80,4,3,85,12,5775,436,168,615,44,711,3
81,81,4,4,81,36,22971,910,257,1148,36,1133,1
