id,Actual.duration,Adjusted.function.points,First.estimate,Actual.effort
1,107,101.65,495,485
2,144,57.12,1365,990
3,604,1010.88,8244,13635
4,226,45.6,1595,1576
5,326,1022.58,3828,3826
6,294,77.04,879,1079
7,212,159.6,2895,2224
8,175,225.54,1800,1698
9,584,144.72,1160,1173
10,171,84.42,885,1401
11,201,126.42,2125,2170
12,195,392.16,1381,1122
13,109,18.9,1142,1024
14,263,112.14,1895,1832
15,165,210.08,1339,1016
16,46,260.95,447,322
17,186,609.7,507,580
18,189,169.85,952,1003
19,95,56,380,380
20,53,30,220,220
21,365,241.86,2879,2356
22,438,219.88,1483,1388
23,109,229.71,1667,1066
24,283,458.38,2125,2860
25,137,177.63,1175,1143
26,102,287.64,2213,1431
27,103,343.54,2247,1868
28,192,346.8,1926,2172
29,219,1121.48,5641,8509
30,484,761.08,3928,5927
31,173,464,1995,2663
32,169,203.01,2281,1425
33,207,550.14,3305,3504
34,61,86.45,797,652
35,311,1362.11,3922,7649
36,418,681,6809,5927
37,410,485.1,4955,6607
38,497,172.96,1294,2591
39,259,2075.8,5688,4494
40,234,756.25,5245,4824
41,462,789.66,3930,5094
42,291,357,2562,3088
43,116,62.08,1526,892
44,128,157.56,1018,750
45,185,322.62,5646,5646
46,207,81.34,1532,1532
47,151,191,1532,1280
48,99,121.52,314,313
49,61,222.78,412,339
50,101,113.52,738,583
51,462,15.36,763,726
52,133,320.12,1750,1939
53,106,84.28,682,669
54,68,248.88,1320,1413
55,239,616.32,3573,4115
56,330,515.07,2913,4009
57,37,88.2,701,630
58,187,115.14,725,718
59,329,63.84,1826,1584
60,120,1015.98,5000,5816
61,85,359.64,2640,2037
62,49,240.84,2534,1428
63,152,285.12,2231,1252
64,47,61.2,1000,655
65,148,287.28,1645,1318
66,141,172,1067,995
67,235,144.06,2270,2265
68,298,108.64,656,654
69,99,165.36,121,718
70,127,680.9,1685,2029
71,163,409.4,2350,1650
72,316,313.95,2308,2223
73,388,1136.34,7850,8600
74,152,177,2004,1884
75,166,746.24,3715,5359
76,114,274.92,1273,1159
77,82,43.5,437,437
78,123,54.75,813,570
79,49,130,900,502
80,183,525.96,2475,1877
81,149,311.85,799,1693
82,370,1185.08,2160,3319
83,128,258.24,1770,1557
84,126,60,760,557
85,200,303.52,2588,3050
86,76,98.9,1148,1113
87,299,711.9,4064,5456
88,131,182.4,933,763
89,140,351.9,2096,2203
90,169,401.98,3284,3483
91,130,162.61,4576,2393
92,389,1210.99,14226,15673
93,166,156.42,6080,2972
94,148,603.58,4046,4068
95,131,73.92,649,698
96,144,121.55,817,676
97,369,1234.2,6340,6307
98,155,35,300,219
99,102,61.06,315,254
100,149,162,750,324
101,548,1285.7,898,874
102,946,18137.48,79870,113930
103,186,1020.6,1600,1722
104,212,377,1702,1660
105,84,210.45,592,693
106,250,410,2158,1455
107,86,279,994,988
108,102,240,1875,1940
109,137,230,2527,2408
110,87,150.29,2606,1737
111,291,1940.68,12694,12646
112,392,401,4176,4414
113,165,267,2240,2480
114,88,102,980,980
115,249,403,3720,3189
116,186,857,2914,2895
117,63,69,360,322
118,192,980.95,3700,3555
119,123,100.8,200,570
120,123,105.28,578,464
121,186,158.4,1652,1742
122,119,219.88,780,896
123,195,1292.56,8690,8656
124,210,616.08,3748,3966
125,180,103.4,710,989
126,238,74.4,856,585
127,144,356.31,2436,1860
128,432,862,4101,5249
129,392,791.84,5231,5192
130,205,661.27,2853,1832
131,49,179,1246,928
132,205,518.4,2570,2570
133,145,370,1328,1328
134,172,839.05,3380,2964
135,137,243.86,1522,1304
136,371,557.28,2264,1631
137,217,485.94,2790,955
138,308,698.54,1312,286
139,217,752.64,2210,1432
140,40,809.25,337,321
141,253,178.1,865,593
142,405,81.48,441,302
143,241,1093.86,2731,2634
144,156,1002.76,1039,1040
145,92,551.88,1393,887
