id,size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
1,562,14,InfServ,PC,Relatnl,GUI,Outsrced,1,No,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062
2,647,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871
3,130,5,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845
4,254,8,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330
5,1056,16,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272
6,383,12,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224
7,345,12,TransPro,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826
8,209,27,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320
9,366,24,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125
10,1181,54,TransPro,Mini,Sequential,TextUI,Outsrced,2,No,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900
11,181,13,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300
12,739,21,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150
13,108,7,CustServ,PC,None,TextUI,Inhouse,2,No,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900
14,48,10,CustServ,Network,None,TextUI,Inhouse,3,No,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583
15,249,19,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565
16,371,11,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047
17,211,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520
18,1849,32,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910
19,2482,38,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286
20,434,40,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052
21,292,29,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039
22,2954,14,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500
23,304,14,TransPro,Multi,Relatnl,TextUI,Inhouse,1,No,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369
24,353,28,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184
25,567,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447
